"indicator_common_id","year","coverage_original_estimate","coverage_avgsurveyprojection","coverage_cov"
"anc1",2000,0.323,NA,NA
"anc1",2001,NA,NA,NA
"anc1",2002,NA,NA,NA
"anc1",2003,NA,NA,NA
"anc1",2004,NA,NA,NA
"anc1",2005,NA,NA,NA
"anc1",2006,0.261,NA,NA
"anc1",2007,NA,NA,NA
"anc1",2008,NA,NA,NA
"anc1",2009,NA,NA,NA
"anc1",2010,NA,NA,NA
"anc1",2011,NA,NA,NA
"anc1",2012,NA,NA,NA
"anc1",2013,NA,NA,NA
"anc1",2014,NA,NA,NA
"anc1",2015,NA,NA,NA
"anc1",2016,NA,NA,NA
"anc1",2017,NA,NA,NA
"anc1",2018,NA,NA,NA
"anc1",2019,NA,NA,NA
"anc1",2020,0.311,0.311,NA
"anc1",2021,NA,0.311,NA
"anc1",2022,NA,0.311,NA
"anc1",2023,NA,0.311,NA
"anc1",2024,NA,0.311,NA
"anc1",2025,NA,0.311,NA
"anc1",2026,NA,0.311,NA
"anc4",2006,0.063,NA,NA
"anc4",2007,NA,NA,NA
"anc4",2008,NA,NA,NA
"anc4",2009,NA,NA,NA
"anc4",2010,NA,NA,NA
"anc4",2011,NA,NA,NA
"anc4",2012,NA,NA,NA
"anc4",2013,NA,NA,NA
"anc4",2014,NA,NA,NA
"anc4",2015,NA,NA,NA
"anc4",2016,NA,NA,NA
"anc4",2017,NA,NA,NA
"anc4",2018,NA,NA,NA
"anc4",2019,NA,NA,NA
"anc4",2020,0.244,0.244,NA
"anc4",2021,NA,0.244,NA
"anc4",2022,NA,0.244,NA
"anc4",2023,NA,0.244,NA
"anc4",2024,NA,0.244,NA
"anc4",2025,NA,0.244,NA
"anc4",2026,NA,0.244,NA
"bcg",2000,0.69,NA,NA
"bcg",2001,0.7,NA,NA
"bcg",2002,0.6,NA,NA
"bcg",2003,0.65,NA,NA
"bcg",2004,0.5,NA,NA
"bcg",2005,0.5,NA,NA
"bcg",2006,0.4,NA,NA
"bcg",2007,0.38,NA,NA
"bcg",2008,0.36,NA,NA
"bcg",2009,0.29,NA,NA
"bcg",2010,0.41,NA,NA
"bcg",2011,0.39,NA,NA
"bcg",2012,0.37,NA,NA
"bcg",2013,0.4,NA,NA
"bcg",2014,0.42,NA,NA
"bcg",2015,0.45,NA,NA
"bcg",2016,0.47,NA,NA
"bcg",2017,0.5,NA,NA
"bcg",2018,0.52,NA,NA
"bcg",2019,0.58,NA,NA
"bcg",2020,0.59,NA,NA
"bcg",2021,0.64,NA,NA
"bcg",2022,0.75,NA,NA
"bcg",2023,0.75,NA,NA
"bcg",2024,0.74,0.74,NA
"bcg",2025,NA,0.74,NA
"bcg",2026,NA,0.74,NA
"delivery",2002,0.088,NA,NA
"delivery",2003,NA,NA,NA
"delivery",2004,NA,NA,NA
"delivery",2005,NA,NA,NA
"delivery",2006,0.094,NA,NA
"delivery",2007,NA,NA,NA
"delivery",2008,NA,NA,NA
"delivery",2009,NA,NA,NA
"delivery",2010,NA,NA,NA
"delivery",2011,NA,NA,NA
"delivery",2012,NA,NA,NA
"delivery",2013,NA,NA,NA
"delivery",2014,NA,NA,NA
"delivery",2015,NA,NA,NA
"delivery",2016,NA,NA,NA
"delivery",2017,NA,NA,NA
"delivery",2018,NA,NA,NA
"delivery",2019,NA,NA,NA
"delivery",2020,0.207,0.207,NA
"delivery",2021,NA,0.207,NA
"delivery",2022,NA,0.207,NA
"delivery",2023,NA,0.207,NA
"delivery",2024,NA,0.207,NA
"delivery",2025,NA,0.207,NA
"delivery",2026,NA,0.207,NA
"measles1",2000,0.24,NA,NA
"measles1",2001,0.2,NA,NA
"measles1",2002,0.45,NA,NA
"measles1",2003,0.4,NA,NA
"measles1",2004,0.4,NA,NA
"measles1",2005,0.35,NA,NA
