"admin_area_2","indicator_common_id","year","coverage_cov"
"North East Zone","anc1",2020,0.608
"North East Zone","anc1",2021,0.616
"North East Zone","anc1",2023,0.616
"North East Zone","anc1",2024,0.607
"North East Zone","anc1",2025,0.607
"North East Zone","anc1",2026,0.607
"North East Zone","anc1",2022,0.616
"North East Zone","delivery",2021,0.294653519469827
"North East Zone","measles1",2023,0.43161213787184
"North East Zone","sba",2026,0.374990441501231
"North East Zone","fully_immunized",2025,0.406572371494441
"North East Zone","pnc1",2020,0.414233108806995
"North East Zone","sba",2022,0.285120018284173
"North East Zone","delivery",2022,0.305022303463723
"North East Zone","sba",2023,0.306828693913874
"North East Zone","opv3",2024,0.506358795867728
"North East Zone","sba",2020,0.278288740366558
"North East Zone","delivery",2020,0.310085596084326
"North East Zone","delivery",2025,0.350915329077369
"North East Zone","measles1",2020,0.411561199301971
"North East Zone","penta3",2024,0.504658123689428
"North East Zone","fully_immunized",2024,0.428129836266511
"North East Zone","opv3",2021,0.461735210754854
"North East Zone","opv3",2022,0.465223819597472
"North East Zone","penta1",2023,0.58455808828543
"North East Zone","delivery",2023,0.329567969642229
"North East Zone","delivery",2024,0.335052831635414
"North East Zone","opv3",2026,0.454885154628627
"North East Zone","penta1",2020,0.513140261225345
"North East Zone","fully_immunized",2026,0.443218489428856
"North East Zone","penta1",2022,0.509822610862694
"North East Zone","sba",2021,0.249511814661905
"North East Zone","measles1",2022,0.387003577106199
"North East Zone","penta3",2026,0.48319021037525
"North East Zone","delivery",2026,0.41980387044476
"North East Zone","bcg",2023,0.519898149521447
"North East Zone","opv3",2025,0.442521538271012
"North East Zone","sba",2025,0.319096011482238
"North East Zone","penta1",2021,0.498648013128384
"North East Zone","measles1",2021,0.376059168212432
"North East Zone","sba",2024,0.305878700792647
"North East Zone","measles1",2024,0.456096162470581
"North East Zone","penta3",2025,0.449094992782496
"North East Zone","penta3",2021,0.461562394736696
"North East Zone","opv2",2023,0.541189297789964
"North East Zone","measles1",2026,0.436024532323523
"North East Zone","opv2",2024,0.496916599663971
"North East Zone","penta3",2022,0.47432409290899
"North East Zone","fully_immunized",2021,0.334230360362653
"North East Zone","penta3",2020,0.477844358974035
"North East Zone","penta1",2024,0.531356600084177
"North East Zone","penta1",2026,0.526402672730449
"North East Zone","opv3",2023,0.550148022145113
"North East Zone","fully_immunized",2022,0.351846162052908
"North East Zone","bcg",2022,0.445153566167011
"North East Zone","bcg",2020,0.441904710011327
"North East Zone","fully_immunized",2020,0.368309367011768
"North East Zone","measles1",2025,0.394566780729908
"North East Zone","fully_immunized",2023,0.373069477834508
"North East Zone","bcg",2021,0.423612556023305
"North East Zone","opv2",2026,0.444182916739889
"North East Zone","penta1",2025,0.4810347608924
"North East Zone","opv2",2025,0.434929197669423
"North East Zone","opv2",2022,0.459128851239234
"North East Zone","opv2",2021,0.458292000754147
"North East Zone","penta3",2023,0.550390993069305
"North East Zone","vitaminA",2024,0.110023824455346
"North East Zone","pnc1",2021,0.654314260477262
"North East Zone","bcg",2026,0.478267005432864
"North East Zone","vitaminA",2026,0.0877138457210271
"North East Zone","vitaminA",2025,0.086522316805781
"North East Zone","bcg",2024,0.463203821333035
"North East Zone","anc4",2023,0.180586857819863
"North East Zone","anc4",2020,0.177206371202679
"North East Zone","anc4",2022,0.173069419469848
"North East Zone","anc4",2021,0.163644355479907
"North East Zone","bcg",2025,0.416091674157752
"North East Zone","anc4",2026,0.187003951814426
"North East Zone","anc4",2025,0.176979324116991
"North East Zone","anc4",2024,0.167846926995505
"North East Zone","vitaminA",2023,0.116030213820231
"North East Zone","vitaminA",2022,0.112324877456902
"North East Zone","pnc1",2022,0.826589916895508
"North East Zone","vitaminA",2021,0.102248225136595
"North East Zone","pnc1",2023,0.910358904597222
"North East Zone","vitaminA",2020,0.02208347112985
"North East Zone","pnc1",2024,0.914772650060433
"North East Zone","pnc1",2025,0.942112854806825
"North East Zone","pnc1",2026,1.11387178848374
