id,report_id,sort_order,config,last_updated
364e10da-1635-441c-9dd2-f34f8e18df18,bb6c6a34-2ffb-415e-9eac-175f13bc981b,10,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[""FASTR_White_FullName.png"",""FASTR_Primary_01_FullName.png""]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]]}}",2026-02-08T19:51:21.124Z
31c7b355-9c15-4b32-a49d-fbc04b06d7ce,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,110,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""imgFile"":""PNC_disruption_comparison.png"",""presentationObjectInReportInfo"":{""id"":""b4750223-9ffd-43f6-958b-0ba9c0412df4"",""moduleId"":""m002"",""isDefault"":true,""selectedReplicantValue"":""""}},{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""# Why disruption views differ:\n\nIn figure 1, observed values are adjusted for completeness, with red areas reflecting reporting gaps.\n\n# Question for discussion:\n\nHow should we present disruptions going forward, so that we flag both reporting issues and real service changes without losing important signals?"",""span"":3}]],""useHeader"":true,""headerText"":""Why Completeness Matters for Analysis""}}",2026-04-22T13:55:42.218Z
39027bbc-2a39-4f9c-9014-d66d5d07ab64,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,160,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""Analysis of routine health management information systems data (HMIS) and the methodological choices contained in this report provide strengths and limitations which are important to consider in the interpretation of the results.""}],[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""# Strengths \n- Leverages routinely collected HMIS data, enabling timely and low-cost monitoring.\n- Includes rigorous data quality assessment and adjustment to improve reliability of estimates.\n- Enables subnational analysis for granular insights.\n- Supports policy-relevant questions through tailored indicator selection and flexible stratification.\n- Accounts for seasonality and historical trends using statistical methods not available in DHIS2.\n- Complements existing DHIS2 tools and strengthens data use through feedback loops.""},{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""# Limitations\n- Cannot correct for all types of data quality issues (e.g., systematic underreporting, denominator inaccuracies).\n- Does not account for facilities that never report, which may bias results in areas with large reporting gaps.\n- Low-volume indicators are more sensitive to anomalies and may not be adjusted.\n- Requires consistent indicator definitions and stable reporting systems over time for trend analysis.""}]],""useHeader"":true,""headerText"":""Strengths and limitations of this analysis""}}",2025-12-10T00:52:45.058Z
29e715bd-2e3e-4cf8-a46a-ed1e1e41555c,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,20,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""markdown"":""The objective of this report is to provide a timely snapshot of health sector performance by assessing key RMNCAH+N service utilization metrics and HMIS data quality. \n\n\nIt aims to identify trends in service coverage, detect disruptions or surpluses in service delivery, and flag potential data quality issues to support evidence-based decision-making and prompt action to improve health outcomes.\n# Table of Contents\n\n# 1. Data Quality Assessment \n\n# 2. Service Utilization Assessment \n\n# 3. Service Coverage Estimates"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":700,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""image"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":true,""figureAdditionalScale"":1.2,""imgHeight"":1500,""imgFit"":""cover"",""imgStretch"":true,""hideFigureCaption"":true,""hideFigureSubCaption"":true,""hideFigureFootnote"":true,""imgFile"":""earth2.jpg"",""span"":8,""presentationObjectInReportInfo"":{""id"":""c20f1672-edfc-4140-ae2c-09a30b50443a"",""moduleId"":""m001"",""isDefault"":true,""selectedReplicantValue"":""""}}]],""useHeader"":true,""headerText"":""Objectives and Content of this Report"",""useFooter"":false,""footerLogos"":[],""footerText"":""In the next section we will examine data quality.""}}",2026-04-22T09:57:10.576Z
50a4077c-51f6-4164-9e40-16c8b48e7c40,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,60,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""At the national level, data completeness is relatively high, with most indicators consistently above 90%.\n\nHowever, a few indicators, including postnatal care for newborns, have much lower completeness (around 70–80%), which may affect reliability for those services.\n\nThese patterns may suggest that a main challenge is indicator-specific reporting gaps. However in at least one case (Region 002), regional performance overall seems to be an issue. \nThis visualization highlights areas where data quality strengthening is most needed."",""span"":3},{""type"":""figure"",""span"":9,""presentationObjectInReportInfo"":{""id"":""c20f1672-edfc-4140-ae2c-09a30b50443a"",""moduleId"":""m001"",""isDefault"":true,""selectedReplicantValue"":""""},""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Reporting completeness""}}",2026-04-22T09:57:10.576Z
e251f01b-cf3a-48f8-8674-1c724cab5dcb,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,140,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":false,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.6,""presentationObjectInReportInfo"":{""id"":""e5edce68-369c-498e-a4b0-03ba73d31d6c"",""moduleId"":""m002"",""selectedReplicantValue"":""""}}]],""useHeader"":true,""headerText"":""Methodology: How data quality adjustment affects results""}}",2026-04-22T13:55:42.218Z
6dcc3559-3e0b-4a82-ad09-2ab73de8ce18,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,120,"{""type"":""section"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annex 1: Methodology"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]],""useHeader"":true}}",2025-12-10T00:52:45.058Z
f8bdc8c3-fc8d-4f8d-8c95-5d92b103cb1c,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,50,"{""type"":""section"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Section One: Data Quality Assessment"",""smallerSectionText"":""Data quality assessments inform adjustments applied to routine data to improve reliability of the analyses presented."",""sectionTextRelFontSize"":9,""smallerSectionTextRelFontSize"":4},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]]}}",2025-12-16T05:04:49.718Z
8b03e6af-696a-47cb-bd27-6c0cbf49ce21,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,150,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""b4750223-9ffd-43f6-958b-0ba9c0412df4"",""moduleId"":""m002"",""selectedReplicantValue"":""""},""stretch"":false,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.6}]],""useHeader"":true,""headerText"":""Methodology: How data quality adjustment affects results""}}",2026-04-22T13:55:42.218Z
879f19e4-cb2f-418e-8da5-a60a731e4ab5,fb8078bb-24fa-4ee7-b32a-6dfffc983d39,90,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""span"":3,""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""ANC1 volumes rose through 2023 before dipping in early 2025.\n\nANC4 showed stable but lower volumes, with a slight increase over time, between ~20,000 and ~25,000 monthly visits since 2023. \n\nAddressing gaps between first and fourth visits remains critical to ensure continuity of care and improved antenatal outcomes.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""span"":9,""presentationObjectInReportInfo"":{""id"":""fffb9066-eeaa-4147-a876-8cccfb0de863"",""moduleId"":""m003"",""isDefault"":false,""selectedReplicantValue"":""""}}]],""useHeader"":true,""headerText"":""Trends in care""}}",2026-04-22T13:56:03.652Z
