id,report_id,sort_order,config,last_updated
99307ec6-881a-4a9a-b5a3-42c9e5ece87a,7762a4ea-7a52-480d-8155-f0f71f4607dd,29,"{""type"":""section"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annex 2: Trends in indicator reporting completness"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]],""useHeader"":true}}",2025-10-17T15:02:04.608Z
2fa74d0b-028c-4719-a6cb-d47bf08411ca,7762a4ea-7a52-480d-8155-f0f71f4607dd,10,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""The number of malaria-positive cases dropped sharply in mid-2024, with volumes ~25–32% below expected in March–April and remaining depressed through much of the year. By 2025, detected cases rose again, returning closer to expected levels by June (~2% below trend).\n\nACT treatment closely followed the trend in positive cases, with marked declines in 2024 and higher volumes in 2025. By June 2025, treatment levels remained somewhat close to expected, and the close alignment with positive cases indicates that most detected cases continued to be treated.\n\nMalaria typically rises during the rainy season, but timing and peak sharpness vary by district. The model captures seasonality at the national level, but does not fully reflect these local differences.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""6dabd0e2-b4c1-46a6-890e-62007b79eac3"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Malaria-positive cases and treatment fell in 2023–24, with increased detection in 2025""}}",2025-10-17T15:02:04.608Z
0d9faeb9-19dd-4db1-831d-6b1718a09dd8,7762a4ea-7a52-480d-8155-f0f71f4607dd,9,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""After tracking near expected early in 2025, BCG rose above trend in Q2. From April–June, surpluses of 9–11% were recorded, with June reaching ~25,600 doses, reflecting stronger and sustained newborn vaccination at birth.\n\nPenta1 volumes stayed close to expected through 2025, with only minor deviations. In June, ~28,900 doses (~7% above expected) reflected stable alignment with trend rather than a major surplus. Strengthening this early dose remains key for continuity of the series.\n\nPenta3 volumes mostly tracked expectations but surged in late 2024 (+11–15%) and April 2025 (+14%), likely from catch-up or campaigns. By June, ~26,500 doses (~4% above expected) signaled a return to stable trend.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""fb3f7d80-0796-46ae-9009-350bb33a615a"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Immunization services strengthen in 2025, with gains in BCG and Penta3""}}",2025-10-17T15:02:04.608Z
67b85c40-5054-4809-8d15-b8639c493bd4,7762a4ea-7a52-480d-8155-f0f71f4607dd,6,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""Short-acting FP methods experienced repeated disruptions: a major shortfall in mid-2024 (21–24% below expected), another dip in Dec 2024 (~18% below), and early 2025 (~15% below). A brief rebound occurred in Mar 2025, when volumes rose ~12% above expected.\n\nLong-acting FP methods remained largely within expected ranges in 2025, with no consistent disruptions flagged, though pre-2024 variability may reflect reporting completeness issues.\n\nOverall, FP services remain unstable, with short-acting methods driving most of the recent disruptions.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""d6e68d9a-0b2b-46ee-921a-f55833d762f4"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Family planning service use remains unstable, with repeated disruptions in short-acting methods through 2024–25 despite brief periods of recovery""}}",2025-10-17T15:02:04.608Z
09478512-0033-4ea9-ba20-89e79229e3ef,7762a4ea-7a52-480d-8155-f0f71f4607dd,20,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""span"":3,""markdown"":""# Kenema District"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""presentationObjectInReportInfo"":{""id"":""b145b923-3c6d-4e69-95e9-936480f2afe9"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""Kenema District""}}]],""useHeader"":false,""headerText"":""""}}",2025-10-17T15:02:04.608Z
763c78e2-3396-4c46-a68b-533c1cf2d2ff,7762a4ea-7a52-480d-8155-f0f71f4607dd,13,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""span"":3,""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""# Bo District""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""presentationObjectInReportInfo"":{""id"":""b145b923-3c6d-4e69-95e9-936480f2afe9"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""Bo District""}}]],""useHeader"":false,""headerText"":""""}}",2025-10-17T15:02:04.608Z
3bb316bb-7888-4177-ab83-d1cdcfe1bf06,7762a4ea-7a52-480d-8155-f0f71f4607dd,31,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""imgFile"":""FASTR_Primary_01_FullName.png""}],[{""type"":""text"",""markdown"":""# FASTR initiative:\nhttps://data.gffportal.org/key-theme/FASTR"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""imgFile"":""FASTR_Primary_01_FullName.png""}],[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""placeholderStretch"":false,""placeholderHeight"":150,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useFooter"":true,""footerLogos"":[""guinea_logo.png"",""FASTR_White_FullName.png"",""GFF_Logo_Vertical_Recolor (white).png""]}}",2025-10-17T15:02:04.608Z
3337cab2-55c3-4890-8753-3f1b85ad6a79,7762a4ea-7a52-480d-8155-f0f71f4607dd,2,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""image"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFile"":""26372818523_c88eeb2825_o.jpg"",""imgFit"":""cover"",""markdown"":"""",""imgStretch"":true,""imgHeight"":250},{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""The FASTR approach uses routine HMIS data to monitor how service delivery shifts over time.\n\nBy comparing observed vs. expected service volumes — adjusted for seasonality and historical trends — we can identify disruptions or surpluses in key health services.\n\nThis analysis provides a timely, system-wide perspective, highlighting where and when service use deviates from expected patterns. Findings generate actionable evidence to guide rapid responses, helping sustain continuity of essential care during funding uncertainty or operational change.""}]],""useHeader"":true,""headerText"":""Tracking Disruptions in Essential Services Using HMIS Data"",""useFooter"":false,""footerLogos"":[]}}",2025-10-17T15:02:04.608Z
25279eaf-35ea-460e-a41e-b89535f61459,7762a4ea-7a52-480d-8155-f0f71f4607dd,26,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""span"":3,""markdown"":""# Tonkolili District"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""presentationObjectInReportInfo"":{""id"":""b145b923-3c6d-4e69-95e9-936480f2afe9"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""Tonkolili District""}}]],""useHeader"":false,""headerText"":""""}}",2025-10-17T15:02:04.608Z
ecc9241b-47fd-4578-ae81-0d2071a82daa,7762a4ea-7a52-480d-8155-f0f71f4607dd,17,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""span"":3,""markdown"":""# Kailahun District"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""presentationObjectInReportInfo"":{""id"":""b145b923-3c6d-4e69-95e9-936480f2afe9"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""Kailahun District""}}]],""useHeader"":false,""headerText"":""""}}",2025-10-17T15:02:04.608Z
