id,report_id,sort_order,config,last_updated
8a5d5bbe-cf27-47a7-8e73-7ee81f47a972,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,440,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annexe 1 : Interruptions de l'utilisation des services au niveau du district"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""90f9573f-abb4-4620-8885-bfa130c435af"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""tu Tshuapa Province""}}]],""useHeader"":true}}",2026-01-08T18:04:43.119Z
3718f127-e5e2-457d-95e4-f50e1f35efec,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,40,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""primary"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""# Les indicateurs utilisés pour l’analyse de l’utilisation des services ont été sélectionnés en tenant compte des priorités nationales.\n\n# Les indicateurs sélectionnés comprennent :""}],[{""type"":""text"",""markdown"":""# Général :\nConsultations externes\n\n# Indicateurs périnatales :\nCPN 1ʳᵉ et CPN 4\nAccouchées ayant reçu Fer et acide folique au moins 90 jours\nAccouchements par personnel qualifié\n# Indicateurs postnatales : \nNouveaux-nés allaités dans l’heure\nConsultations postnatales (mère et nouveau-né) : CPoN 1 (6ème heure), CPoN 2 (6ème jour), CPoN 3 (42ème jour)\nNaissances vivantes à terme < 2500 g\nNouveaux-nés méthode Kangourou"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""text"",""markdown"":""# Indicateurs d'immunisation :\nBCG administré\nPentavalent 1 et 3 administré\nNombre d’enfants complètement vaccines\nNombre d’enfants de 6 mois a 59 mois ayant reçu deux doses de vitamine A\n\n# Indicateurs de nutrition :\nFemmes enceintes malnutries (PB < 230 mm)\nFemmes allaitantes malnutries (PB < 230)\nNombre d'enfants avec malnutrition (sévères et modérés)\nNombre d'enfants < 5 ans avec malnutrition aiguë prise en charge"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Méthodologie : Sélection des indicateurs""}}",2026-01-08T15:54:32.246Z
86504f45-568a-4f34-a0e8-111797a14ffa,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,70,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""Les consultations prénatales sont restées proches des niveaux attendus depuis 2023.\nCPN1 se maintient autour de 460 000–500 000 consultations mensuelles, tandis que CPN4 demeure nettement plus faible, autour de 270 000–330 000, reflétant un écart important et persistant entre l’entrée et la complétude du suivi prénatal.\nLa supplémentation en fer et acide folique reste également stable, autour de 280 000–310 000 services mensuelles.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""fa3b3e64-6a47-418c-9d9b-f7d3554cacbc"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Consultations prénatales et supplémentation avec fer folique proche des niveaux attendus""}}",2026-01-07T18:57:33.075Z
9241df38-28fd-4b9d-9831-aec8f0e7c65c,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,380,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annexe 1 : Interruptions de l'utilisation des services au niveau du district"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""90f9573f-abb4-4620-8885-bfa130c435af"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""nu Nord Ubangi Province""}}]],""useHeader"":true}}",2026-01-08T18:03:06.722Z
fb24b5d0-2d55-412c-b9e5-e9b05ba1c272,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,90,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""Les trois consultations postnatales (CPoN1, CPoN2 et CPoN3) restent globalement alignées avec les niveaux attendus depuis 2023.\nUn léger excédent apparaît pour CPoN2 en 2025, sans perturbation durable.\nDans l’ensemble, les volumes sont stables, mais la fréquentation diminue à chaque étape : CPoN2 enregistre environ 15 % de consultations de moins que CPoN1, et CPoN3 environ 20 % de moins.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""68f08a6a-e4fd-497b-b79b-29b730e2df8b"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Les soins postnatals maternels suivent niveaux attendus""}}",2026-01-07T19:03:08.979Z
70e8d2f6-5bf1-40cc-a96e-9526f71bef82,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,140,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""La supplémentation en vitamine A pour les enfants de 6–59 mois reste globalement alignée sur les niveaux attendus.\nEn 2025, légères excédents temporaires sont observés aux niveaux prévus (~ +15 %), avant un retour progressif vers les tendances habituelles depuis septembre 2025.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""9b3f7337-c763-4110-a4ce-d98ebfc63734"",""moduleId"":""m003"",""selectedReplicantValue"":""nutrition_vitamin_a"",""isDefault"":false,""replicateBy"":""indicator_common_id""}}]],""useHeader"":true,""headerText"":""Hausse temporaire des enfants supplémentes en vitamine A en 2025""}}",2026-01-07T20:19:37.532Z
48071389-5016-4d38-a6b4-7c9f8d7f7858,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,180,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annexe 1 : Interruptions de l'utilisation des services au niveau du district"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""Les excédents concernent principalement la prise en charge des enfants malnutris et la méthode Kangourou, et sont plus marqués dans les provinces du Kongo Central, du Maï-Ndombe et de la Mongala.\nÀ l’inverse, les perturbations sont surtout observées pour les femmes allaitantes malnutries, notamment dans le Sankuru, le Haut-Uele et le Haut-Lomami."",""span"":3},{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""af37b5f4-aea2-4694-9d1e-0ae70173bb7d"",""moduleId"":""m003"",""isDefault"":false,""selectedReplicantValue"":""""},""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.9,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Perturbations et excédents des services de santé au niveau infranational (janv.–nov. 2025)""}}",2026-01-07T21:05:19.258Z
6a6d553e-1d22-41b1-8b61-05eb3738f5d8,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,420,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annexe 1 : Interruptions de l'utilisation des services au niveau du district"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""90f9573f-abb4-4620-8885-bfa130c435af"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""tn Tanganyika Province""}}]],""useHeader"":true}}",2026-01-08T18:04:14.982Z
39b126c7-d4bf-4687-9a5f-b0508413dbf3,fe9c2652-38f7-42dd-8d12-37f45fcfce60,490,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""Les estimations des enquêtes montrent une couverture CPN1 élevée et stable, autour de 85–90 %, jusqu’à la dernière année disponible, et la projection basée sur l’enquête estime la couverture nationale à environ 67 % en 2025.\n\nLes estimations issues des données SGIS présentent davantage de fluctuations et indiquent une couverture d’environ 74 % en 2025, soit 7 % supérieure à la projection d’enquête."",""span"":4},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""a999c750-635b-4ee4-a9ab-e985c486b539"",""moduleId"":""m006"",""selectedReplicantValue"":""anc1"",""replicateBy"":""indicator_common_id"",""isDefault"":false},""hideFigureFootnote"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":true}],[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":"" En 2025, la couverture infranationale CPN1 varie de 57 % dans le Tanganyika à 98 % dans le Nord-Kivu, indiquant un écart de 41 points de pourcentage entre les unités infranationales."",""span"":4},{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""bce6f88b-4cab-4a99-a354-3685b99de8fd"",""moduleId"":""m006"",""isDefault"":false,""replicateBy"":""indicator_common_id"",""selectedReplicantValue"":""anc1""},""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.6,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":true,""hideFigureFootnote"":true}]],""useHeader"":true,""headerText"":""Estimation de la couverture du service CPN1""}}",2026-01-08T23:32:51.424Z
17717b78-37bb-46df-9e9a-27b37c6b9be2,5c9ec7a2-e282-4473-9f46-a5f8da17a3f8,430,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annexe 1 : Interruptions de l'utilisation des services au niveau du district"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""90f9573f-abb4-4620-8885-bfa130c435af"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""admin_area_2"",""selectedReplicantValue"":""tp Tshopo Province""}}]],""useHeader"":true}}",2026-01-08T18:04:29.965Z
