id,report_id,sort_order,config,last_updated
2f112c92-2a9a-486c-ab3a-66c9c3924abc,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,750,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""f06cd87b-39c3-44a2-9ac0-3113414a6402"",""moduleId"":""m002"",""selectedReplicantValue"":"""",""isDefault"":false},""stretch"":false,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.6}]],""useHeader"":true,""headerText"":""Methodology: How data quality adjustment affects results""}}",2025-12-09T22:59:10.786Z
b7638260-7046-43a5-9ea1-99012227e20a,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,760,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":1.6,""presentationObjectInReportInfo"":{""id"":""8beb876f-6fe1-431a-84bd-288d5c330673"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Methodology: How data quality adjustment affects results""}}",2025-12-09T22:59:10.786Z
4207d0cb-c570-45d0-bf60-6151f17401fe,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,60,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""Data completeness is variable across regions and indicators, with ANC1, BCG, Penta1, and Penta3 vaccination, and outpatient visits reporting above 90% completeness across most regions. \n\nSeveral indicators, including ANC4 and institutional delivery often fall below 90%.\n\nWeaker reporting in the South East suggests the need for targeted improvements in regional reporting.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.6,""presentationObjectInReportInfo"":{""id"":""a9f79789-ab89-4875-9727-76ef87e2d237"",""moduleId"":""m001"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Reporting completeness""}}",2025-12-09T22:59:10.786Z
ac640246-d5e9-4ece-96e2-c327aeca7d3f,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,80,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""Across regions, consistency remains strong for ANC1 vs ANC4 and Penta 1 vs. Penta 3. \n\nDelivery vs BCG is weak in regions, averaging 36% and dropping as low as 0% in Eastern regions. This is likely influenced by ~33% of births at home (MICS 2022-2023); home-born infants later vaccinated can make BCG counts exceed deliveries.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""cf5b8649-93c2-4bbe-8f2d-773f42ce8ec3"",""moduleId"":""m001"",""selectedReplicantValue"":"""",""isDefault"":true}}]],""useHeader"":true,""headerText"":""Internal consistency""}}",2025-12-09T22:59:41.304Z
f667e6a7-9730-4af9-8a2d-e9104995584b,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,90,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""At the national level, the overall DQA score increased slightly from 96.1% in 2019 to 98.7% in 2025.\n\nAll regions achieved strong results above 90% in 2025., indicating limited missing data or outliers for OPD, Penta1, and ANC1, and consistent reporting between Penta1/Penta3 and ANC1/ANC4. ""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""318669d1-b61a-4021-a4ef-c033116aac5e"",""moduleId"":""m001"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Trends in data quality""}}",2025-12-09T22:59:10.786Z
1c864533-28f3-4d29-8256-a8b253f93f82,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,100,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""At the national level, the mean DQA score remained stable, increasing slightly from 90% in 2019 to 93% in 2025. National mean scores are high, showing that on average, Afghanistan's HMIS data is close to the desired quality standard.\n\nAcross regions, all scores remained above 85% in 2025, with the lowest mean DQA score in Central East (87%).""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""b99953b6-2b4c-4071-8f51-57a050c600f5"",""moduleId"":""m001"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Trends in data quality""}}",2025-12-09T22:59:10.786Z
a333a160-5fbc-466d-82dd-d30d63e13210,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,120,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""span"":3,""markdown"":""ANC1 volumes fluctuated through 2025, reaching a low of ~180,000 in early 2025 and a high of over 240,000 in July 2025.\n\nANC4 showed stable but lower volumes, between ~55,000 and ~60,000 monthly visits since 2023. \n\nAddressing gaps between first and fourth visits remains critical to ensure continuity of care and improved antenatal outcomes.""},{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""fd8865a2-ee71-4f48-8d92-1b95c355eade"",""moduleId"":""m003"",""isDefault"":false,""selectedReplicantValue"":""anc_SM"",""replicateBy"":""indicator_common_id""},""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Trends in antenatal care""}}",2025-12-11T20:31:12.425Z
a22045b3-4731-43ce-981c-a52d893ceeb5,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,130,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""span"":3,""markdown"":""ANC1 experienced declines in Q1 2024, followed by a 16.1% increase in Q3 and a decline of 11.8% in Q4 2024. \n\nANC4 service volume showed no meaningful quarter-to-quarter changes from 2023 to Q2 2025, reflecting stable utilization patterns across the period. \n\nBoth ANC1 and ANC4 experienced increases in service volume in Q3 2025, with a 17.5% increase in ANC1 and an 11.2% increase in ANC4.""},{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""d46b72a4-42fa-4f5f-a0c0-e074b032e9ad"",""moduleId"":""m003"",""isDefault"":false,""selectedReplicantValue"":""anc_SM"",""replicateBy"":""indicator_common_id""},""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Quarter-to-quarter change in service volume\nAntenatal care visits""}}",2025-12-11T20:31:28.039Z
78bb9522-1c43-4cab-a9ca-237c8a11c68d,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,140,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""ANC1 trends were more volatile, with several surpluses in 2023 followed by disruptions throughout 2024 and early 2025, averaging ~13% below expected levels during the disruption periods. In 2025, volumes alternated between peaks of surplus and valleys of disruption, converging by September 2025 when actual and expected volumes aligned.\n\nANC4 volumes closely tracked expected trends through 2023, before consistent disruptions across 2024 and 2025, averaging ~11% below expected levels in both years.\n\nFar fewer women progress from ANC1 to ANC4, underscoring a persistent continuity gap in antenatal care.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""85fc6d89-048c-4ae0-83c0-5c2d6f951db0"",""moduleId"":""m003"",""selectedReplicantValue"":""anc_SM"",""isDefault"":false,""replicateBy"":""indicator_common_id""}}]],""useHeader"":true,""headerText"":""ANC service shows disruption in 2024 and 2025, with more volatility in disruptions and surpluses in ANC1""}}",2025-12-11T20:31:47.747Z
59fc72bc-31ca-4033-8d42-ae58eb8ebf34,2bb82d84-1fc8-4080-ab51-6eddf4c09d15,160,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""span"":3,""markdown"":""Facility delivery utilization has remained consistent since 2023, indicating steady service provision without major disruptions.""},{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""d46b72a4-42fa-4f5f-a0c0-e074b032e9ad"",""moduleId"":""m003"",""isDefault"":false,""selectedReplicantValue"":""delivery_SM"",""replicateBy"":""indicator_common_id""},""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Quarter-to-quarter change in service volume\nDelivery care""}}",2025-12-11T20:32:21.236Z
