id,report_id,sort_order,config,last_updated
29eca0da-e6d8-4638-9e69-2d459ce03aa2,0289ad95-0746-4556-be7e-f568d65c6275,10,"{""type"":""cover"",""cover"":{""titleText"":""Suivi des perturbations dans les services essentiels à l’aide des données du DHIS2 au Burkina Faso"",""subTitleText"":""Rapport synthetique\nT2 2025"",""presenterText"":"""",""dateText"":""Analyse produite en octobre 2025"",""logos"":[""FASTR_White_FullName (1).png"",""GFF_Logo_Vertical_Recolor (white) (1).png"",""FASTR_Primary_01_FullName (1).png""],""dateTextRelFontSize"":3,""titleTextRelFontSize"":8},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]],""useHeader"":true,""headerText"":""""}}",2025-10-16T20:37:40.279Z
cb08fca3-22ae-4fb5-9e57-e1d17c95322c,0289ad95-0746-4556-be7e-f568d65c6275,20,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""image"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""cover"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""imgFile"":""31931352177_792beb9743_o.jpg""},{""type"":""text"",""markdown"":""L’approche FASTR utilise les données de routine du DHIS2 pour\nsuivre l’évolution de la prestation des services dans le temps.\nEn comparant les volumes de services observés et attendus —\najustés en fonction de la saisonnalité et des tendances historiques\n— nous pouvons identifier les perturbations ou les excédents dans\nles services de santé essentiels.\nCette analyse fournit une perspective globale et opportune,\nmettant en évidence où et quand l’utilisation des services s’écarte\ndes tendances attendues. Les résultats produisent des données\nexploitables pour orienter des réponses rapides et contribuer à\nmaintenir la continuité des soins essentiels en période\nd’incertitude de financement ou de changements opérationnels."",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Objectifs et contenu du rapport"",""useFooter"":false,""footerLogos"":[]}}",2025-10-16T20:37:40.279Z
79fbb2ab-fb31-4a6a-b3a8-34ad789be120,0289ad95-0746-4556-be7e-f568d65c6275,30,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""markdown"":""# Méthodologie : Sélection des indicateurs\nLes indicateurs utilisés pour l'analyse de l'utilisation des services ont été sélectionnés en tenant compte des priorités nationales. "",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}],[{""type"":""text"",""markdown"":""# Général :\nConsultations externes\n\n# Indicateurs maternels :\nCPN 1ʳᵉ et CPN 4ᵉ (consultation prénatale)\nAccouchements institutionnels\nConsultation postnatale pour les mères (6ᵉ-8ᵉ jour)\n\n"",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""text"",""markdown"":""# Indicateurs d'immunisation :\nBCG administré\nPentavalent 1 et 3 administré\n"",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":false,""headerText"":""""}}",2025-10-16T20:37:40.279Z
5c8dd87f-23c7-4575-8b2c-54b6f8c933ea,0289ad95-0746-4556-be7e-f568d65c6275,40,"{""type"":""section"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""1 : Utilisation des services"",""smallerSectionText"":""Évaluation des volumes projetés sur la base des tendances historiques afin d’identifier les excédents et les perturbations dans les services de santé"",""smallerSectionTextRelFontSize"":4},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]]}}",2025-10-16T20:37:40.279Z
e10b7e1a-0e4a-447e-8755-57c1be410b7b,0289ad95-0746-4556-be7e-f568d65c6275,50,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""CPN1 ne montrent des chocs majeurs en 2025, mais a connu une baisse légèr de 15 % en octobre 2024 (~71 000 contre ~81 000 attendus).\n\nCPN4 suit les niveaux attendus en 2025, avec une baisse antérieure de 14 % en novembre 2024 (~51 000 contre ~46 000 attendus).\n\nCes résultats montrent que beaucoup moins de femmes passent de la CPN1 à la CPN4, ce qui met en évidence un écart persistant dans la continuité des soins prénatals.\n""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Les CPN suit des niveaux attendus en 2025""}}",2025-10-16T20:37:40.279Z
a84b6c8c-5fda-4d2b-b028-0cf80a106d53,93d5016d-141e-4afa-830a-db715a3e1d8a,110,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""span"":6,""markdown"":""# Résumé des tendances d'exhaustivité\nL’exhaustivité des données s’est nettement améliorée entre la fin de 2023 et mi-2024, avec la majorité des indicateurs passant de niveaux intermédiaires (~85-90 %) à des niveaux supérieurs à 90 %.\n\nFin 2023 : la complétude reste moyenne pour plusieurs indicateurs (CPN, accouchements, soins postnatals, consultations externes), entre 85 % et 89 %. Les vaccins (BCG, Penta) affichent déjà une meilleure exhaustivité autour de 90 %.\n\n2024 : presque tous les indicateurs franchissent le seuil de 90 %. Les vaccins atteignent 95-97 %, et les soins maternels se stabilisent autour de 90-92 %.\n\n2025 :  l'exhaustivité demeurent très élevées et stables, entre 91 % et 97 % pour l’ensemble des indicateurs. Les plus hauts niveaux sont observés pour la vaccination, tandis que les soins postnatals et les visites externes restent légèrement en dessous (≈ 90 %).\n\nEn résumé, la période observée illustre un basculement rapide vers une exhaustivité élevée et stable à partir de mi-2024, garantissant une base de données fiable pour l’analyse des perturbations.\n\n# Pourquoi l’exhaustivité est importante pour l’analyse des disruptions\n\nValeurs observées : ajustées pour les valeurs aberrantes, elles reflètent les volumes de services rapportés après exclusion des pics non plausibles.\n\nValeurs attendues : corrigées à la fois pour les valeurs aberrantes et l’exhaustivité, elles estiment la tendance comme si tous les établissements avaient rapporté de manière régulière.\n\nQuand l’exhaustivité est élevée (comme en 2025), les écarts entre observé et attendu reflètent de véritables changements d’utilisation des services.\nQuand l’exhaustivité est faible (non applicable ici), les « disruptions » apparentes proviennent souvent de lacunes de rapportage plutôt que de chutes réelles de services.\n\n# Approche appliquée au Burkina Faso\nLa hausse de la complétude entre 2023 et 2024 semble refléter une amélioration de la qualité des données. Les valeurs observées ont donc été ajustées pour les valeurs aberrantes afin de corriger les niveaux implausiblement élevés. De même, les valeurs attendues ont été ajustées pour l’exhaustivité et les valeurs aberrantes.\n\nUne limite est que certains mois où les services n’ont réellement pas eu lieu (zéro prestation) ont pu être imputés comme des valeurs attendues. Ce compromis reste néanmoins pertinent pour capter de manière plus fiable les disruptions réelles dans la prestation de services."",""stretch"":true,""fillArea"":true,""textSize"":0.64,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.6,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""presentationObjectInReportInfo"":{""id"":""91a491bd-6404-41d6-a74e-13a86ec8d7c8"",""moduleId"":""m001"",""isDefault"":false,""selectedReplicantValue"":""""}}]],""useHeader"":false,""headerText"":""Completeness is >95% for most indicators in 2025, strengthening confidence in disruption findings""}}",2026-01-14T09:22:07.059Z
8a534b27-3294-4fea-b138-89f52e976ba4,0289ad95-0746-4556-be7e-f568d65c6275,60,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""Les mois de janvier et février 2025 ont enregistré moins d’accouchements que prévu, avec un écart de 13 à 17 %. (~51 000 contre ~59 000 attendus en janvier, et de ~48 000 contre ~56 000 attendus en février). Cependant, à partir de mars 2025, le niveau des accouchements en formation sanitaire sont revenus aux niveaux attendus.\n\nLes volumes de soins postnatals sont restés globalement conformes aux niveaux attendus. Avec un léger excédent de 14 % en juillet 2025 (~32 000 contre ~28 000 attendus). ""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Les accouchements institutionnels enregistrent des perturbations au début de 2025, mais les volumes de services sont depuis revenus aux niveaux attendus""}}",2025-10-16T20:37:40.279Z
26ea26cc-ff34-4806-842f-22bad9a38938,0289ad95-0746-4556-be7e-f568d65c6275,170,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""Au niveau national, l’exhaustivité des données est globalement élevée, avec plusieurs indicateurs dépassant 90 %, notamment ceux relatifs à l'accouchement, la vaccination et aux consultations prénatales.\n\nEn revanche, des faiblesses subsistent pour les soins postnatals, ainsi que dans certaines régions, particulièrement le Sahel.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.7,""presentationObjectInReportInfo"":{""id"":""c20f1672-edfc-4140-ae2c-09a30b50443a"",""moduleId"":""m001"",""selectedReplicantValue"":"""",""isDefault"":true},""span"":9}]],""useHeader"":true,""headerText"":""Exhaustivité des rapports""}}",2026-01-14T09:22:07.059Z
d35ec9bb-14c8-46ab-807b-d41a6ccef832,0289ad95-0746-4556-be7e-f568d65c6275,70,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""La vaccination se maintient globalement aux niveaux attendus en 2025.\n\nDe légères perturbations dans l’utilisation des services de vaccination ont été observées en 2024, notamment :\n\n- BCG : écart de 13 % en août 2024 (~60 000 contre ~68 000 attendus).\n- Penta 1: écart de  de 17 % en août 2024 (~63 000 contre ~73 000 attendus).\n- Penta 3 : écart de 18 % en novembre 2024 (~57 000 contre ~67 000 attendus).""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""La vaccination des enfants suit les niveaux attendus en 2025""}}",2025-10-16T20:37:40.279Z
de7020ea-1e81-4913-965f-894a9f28e3f1,0289ad95-0746-4556-be7e-f568d65c6275,80,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""Les consultations sont proches des volumes attendus en 2025, sans écart majeur.\n\nLes consultations externes présentent une tendance saisonnière, avec une hausse du nombre de visites en septembre-octobre. Ce phénomène est observé en 2023 et en 2024, avec un nombre de visites légèrement supérieur aux attentes durant la période de septembre à octobre 2024.""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Les consultations externes sont proches des volumes de service attentes""}}",2025-10-16T20:37:40.279Z
