id,report_id,sort_order,config,last_updated
d80357d2-7ba0-494c-9fd9-515c7ad5d4ee,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,10,"{""type"":""cover"",""cover"":{""titleText"":""Suivi des perturbations dans les services essentiels à l’aide des données du DHIS2 au Burkina Faso"",""subTitleText"":""Rapport synthetique\nT2 2025"",""presenterText"":"""",""dateText"":""Analyse produite en octobre 2025"",""logos"":[""FASTR_White_FullName (1).png"",""GFF_Logo_Vertical_Recolor (white) (1).png"",""FASTR_Primary_01_FullName (1).png""],""dateTextRelFontSize"":3,""titleTextRelFontSize"":8},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]],""useHeader"":true,""headerText"":""""}}",2025-10-16T20:31:51.002Z
220fbd15-da5e-42f3-8b44-c29fd38bde10,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,20,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""image"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""cover"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""imgFile"":""31931352177_792beb9743_o.jpg""},{""type"":""text"",""markdown"":""L’approche FASTR utilise les données de routine du DHIS2 pour\nsuivre l’évolution de la prestation des services dans le temps.\nEn comparant les volumes de services observés et attendus —\najustés en fonction de la saisonnalité et des tendances historiques\n— nous pouvons identifier les perturbations ou les excédents dans\nles services de santé essentiels.\nCette analyse fournit une perspective globale et opportune,\nmettant en évidence où et quand l’utilisation des services s’écarte\ndes tendances attendues. Les résultats produisent des données\nexploitables pour orienter des réponses rapides et contribuer à\nmaintenir la continuité des soins essentiels en période\nd’incertitude de financement ou de changements opérationnels."",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Objectifs et contenu du rapport"",""useFooter"":false,""footerLogos"":[]}}",2025-10-16T20:31:51.002Z
bb00cfc7-a0a4-45e2-bd65-94f25c532dfb,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,30,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""markdown"":""# Méthodologie : Sélection des indicateurs\nLes indicateurs utilisés pour l'analyse de l'utilisation des services ont été sélectionnés en tenant compte des priorités nationales. "",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}],[{""type"":""text"",""markdown"":""# Général :\nConsultations externes\n\n# Indicateurs maternels :\nCPN 1ʳᵉ et CPN 4ᵉ (consultation prénatale)\nAccouchements institutionnels\nConsultation postnatale pour les mères (6ᵉ-8ᵉ jour)\n\n"",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""text"",""markdown"":""# Indicateurs d'immunisation :\nBCG administré\nPentavalent 1 et 3 administré\n"",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":false,""headerText"":""""}}",2025-10-16T20:31:51.002Z
fc170c15-5c80-44c8-9670-9b62c95e61ec,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,40,"{""type"":""section"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""1 : Utilisation des services"",""smallerSectionText"":""Évaluation des volumes projetés sur la base des tendances historiques afin d’identifier les excédents et les perturbations dans les services de santé"",""smallerSectionTextRelFontSize"":4},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]]}}",2025-10-16T20:31:51.002Z
e9956222-1f50-489f-b5af-0574953fd659,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,50,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""CPN1 ne montrent des chocs majeurs en 2025, mais a connu une baisse légèr de 15 % en octobre 2024 (~71 000 contre ~81 000 attendus).\n\nCPN4 suit les niveaux attendus en 2025, avec une baisse antérieure de 14 % en novembre 2024 (~51 000 contre ~46 000 attendus).\n\nCes résultats montrent que beaucoup moins de femmes passent de la CPN1 à la CPN4, ce qui met en évidence un écart persistant dans la continuité des soins prénatals.\n""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Les CPN suit des niveaux attendus en 2025""}}",2025-10-16T20:31:51.002Z
a179e763-c1c5-4b09-b34e-a4ed74a647a0,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,210,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""À l’échelle nationale, le score moyen de qualité des données reste faible et s’est légèrement détérioré, passant de 84 % en 2020 à 77 % en 2025.\n\nLa plupart des régions se situent entre 60 % et 80 % en 2025, avec de meilleures performances observées à Kolda.\n\n""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""4dc02c21-29da-4a01-9812-469deedaaac8"",""moduleId"":""m001"",""selectedReplicantValue"":"""",""isDefault"":true}}]],""useHeader"":true,""headerText"":""Tendances du Score de Qualité des Données (SQD)""}}",2025-10-16T20:31:51.002Z
2ac7f905-2cc3-4b7d-841b-6a5ba7492ff1,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,60,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""Les mois de janvier et février 2025 ont enregistré moins d’accouchements que prévu, avec un écart de 13 à 17 %. (~51 000 contre ~59 000 attendus en janvier, et de ~48 000 contre ~56 000 attendus en février). Cependant, à partir de mars 2025, le niveau des accouchements en formation sanitaire sont revenus aux niveaux attendus.\n\nLes volumes de soins postnatals sont restés globalement conformes aux niveaux attendus. Avec un léger excédent de 14 % en juillet 2025 (~32 000 contre ~28 000 attendus). ""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Les accouchements institutionnels enregistrent des perturbations au début de 2025, mais les volumes de services sont depuis revenus aux niveaux attendus""}}",2025-10-16T20:31:51.002Z
0303a92a-627a-4131-9bea-1685dd15514d,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,70,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":3,""markdown"":""La vaccination se maintient globalement aux niveaux attendus en 2025.\n\nDe légères perturbations dans l’utilisation des services de vaccination ont été observées en 2024, notamment :\n\n- BCG : écart de 13 % en août 2024 (~60 000 contre ~68 000 attendus).\n- Penta 1: écart de  de 17 % en août 2024 (~63 000 contre ~73 000 attendus).\n- Penta 3 : écart de 18 % en novembre 2024 (~57 000 contre ~67 000 attendus).""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""La vaccination des enfants suit les niveaux attendus en 2025""}}",2025-10-16T20:31:51.002Z
40b5d40f-88ce-4f58-ac1b-78c65626f824,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,80,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""Les consultations sont proches des volumes attendus en 2025, sans écart majeur.\n\nLes consultations externes présentent une tendance saisonnière, avec une hausse du nombre de visites en septembre-octobre. Ce phénomène est observé en 2023 et en 2024, avec un nombre de visites légèrement supérieur aux attentes durant la période de septembre à octobre 2024.""},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Les consultations externes sont proches des volumes de service attentes""}}",2025-10-16T20:31:51.002Z
595228c2-69a2-40e7-b36b-965b2d56e76d,c73dcb5c-9bd2-47c6-9560-8b0a48eeb6cb,90,"{""type"":""section"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annexe 2 : Tendances en matière d'exhaustivité des rapports sur les indicateurs"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]],""useHeader"":true}}",2025-10-16T20:31:51.002Z
