id,report_id,sort_order,config,last_updated
92804711-90aa-4bf8-a102-7b76e28a09fc,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,170,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""INTERPRÉTATION:\n\nComme indiqué précédemment, on observe un rétablissement durable de la continuité et de l’offre de services, accompagné d’une amélioration progressive. Cette tendance se traduit par une augmentation nettement perceptible des performances pour l’ensemble des indicateurs au quatrième trimestre 2025 à l’échelle nationale""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":1.1,""presentationObjectInReportInfo"":{""id"":""4b1f42cd-1d45-4d8b-ae0f-e348008d5c25"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false},""hideFigureFootnote"":true}]],""useHeader"":true,""headerText"":""Perturbations et excédents dans l'utilisation des services de santé""}}",2026-03-19T01:46:18.497Z
8441aaa1-38ec-4fd4-b946-79ebd1c4be27,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,20,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""image"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFile"":""report_image1.png"",""imgFit"":""cover"",""span"":5},{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1.95,""textBackground"":""success"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":"" 1. Évaluation de la qualité des données\n\n 2. Évaluation de la performance en matière d'utilisation des services\n\n3. Estimations de la couverture des services\n""}]],""useHeader"":true,""headerText"":""Plan de la présentation""}}",2025-10-09T17:43:24.262Z
ec2597f7-dcb8-4d1e-b2c2-9b274cfa30c6,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,320,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":false,""textSize"":0.64,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""# Qu'est-ce que l'évaluation de la qualité des données ?\nLa méthodologie d'évaluation de la qualité des données (DQA) applique trois évaluations fondamentales : la détection des valeurs aberrantes extrêmes dans les volumes de services déclarés, l'analyse de l'exhaustivité spécifique à chaque indicateur et les contrôles de cohérence entre les indicateurs connexes. Pour chaque établissement et chaque mois, les données sont traitées afin d'identifier les anomalies, d'évaluer la continuité des déclarations et de valider la cohérence interne entre les indicateurs. Les valeurs aberrantes sont signalées à l'aide de méthodes de déviation absolue médiane (MAD) et de seuils proportionnels. L'exhaustivité est évaluée en fonction du fait que les établissements déclarent ou non des valeurs non nulles pour les indicateurs de base au cours des différents mois. La cohérence est vérifiée entre les indicateurs liés (par exemple, ANC1 vs ANC4, Penta1 vs Penta3), à l'aide de seuils de ratio prédéfinis. Les résultats sont intégrés dans un score DQA composite qui résume si les données d'un établissement répondent à tous les critères de qualité.\n# Qu'est-ce que l'ajustement de la qualité des données ?\nL'ajustement de la qualité des données est le processus qui consiste à corriger les problèmes connus dans les données de santé de routine afin d'améliorer la fiabilité des analyses. Dans l'approche FASTR, les ajustements sont appliqués aux données du SIS à l'aide de méthodes automatisées qui identifient et corrigent les valeurs aberrantes et imputent les données manquantes sur la base des tendances observées dans les rapports historiques. Cela permet aux pays d'utiliser de manière plus fiable les données dont ils disposent déjà, même lorsque les rapports sont imparfaits.\n# Pourquoi ajuster la qualité des données ?\nLes données de santé courantes, telles que celles saisies dans DHIS2, sont une ressource essentielle pour le suivi et l'amélioration des systèmes de soins de santé primaires. Cependant, les problèmes de qualité des données, tels que les valeurs aberrantes, les rapports incomplets et les incohérences entre les indicateurs connexes, peuvent fausser les analyses et induire en erreur les décideurs. L'approche FASTR comprend des méthodes statistiques intégrées pour identifier et corriger ces problèmes, ce qui permet d'obtenir des résultats plus fiables et exploitables. Si tous les problèmes de qualité des données ne peuvent pas être entièrement résolus, des ajustements ciblés améliorent la fiabilité des données et contribuent à garantir qu'elles peuvent toujours servir de base à la prise de décision. Plutôt que de considérer la mauvaise qualité des données comme un obstacle, FASTR la transforme en une opportunité de retour d'information et d'amélioration, permettant aux pays d'utiliser les données dont ils disposent pour prendre des décisions opportunes et fondées sur des preuves.\n# Comment l'ajustement a-t-il été effectué ?\nLe module d'ajustement de la qualité des données utilise les données du SIIS ainsi que les indicateurs d'anomalies et d'exhaustivité générés par le module d'évaluation de la qualité des données, qui identifient les cas où les volumes de services sont anormalement élevés ou manquants. Les valeurs aberrantes sont remplacées par une moyenne mobile centrée sur 12 mois au niveau de l'établissement, calculée à partir de données valides (non signalées). Les valeurs manquantes dues à des rapports incomplets sont imputées selon la même méthode. Si les données historiques valides sont insuffisantes, une moyenne de repli au niveau de l'établissement est utilisée à la place. Les ajustements sont appliqués selon quatre scénarios (aucun ajustement, valeurs aberrantes uniquement, exhaustivité uniquement et les deux combinés) afin de permettre une analyse de sensibilité. Les indicateurs qui ne respectent pas les seuils minimaux de volume sont exclus de l'ajustement. Pour cette analyse, l'ajustement concerne uniquement [LES VALEURS ABERRANTES].""}]],""useHeader"":true,""headerText"":""Méthodologie : ajustements de la qualité des données""}}",2025-10-09T17:43:24.262Z
207fdf35-e7c6-4099-af8b-d39786c014ae,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,340,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""presentationObjectInReportInfo"":{""id"":""508f17cc-fbfd-4585-a2e8-8242234898c3"",""moduleId"":""m003"",""selectedReplicantValue"":""""}}]],""useHeader"":true,""headerText"":""Methodologie: Comment l'ajustement de la qualité des données affecte les résultats""}}",2026-03-17T10:28:36.225Z
e7f02aa7-49e8-446b-8d8d-7b93428a2943,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,40,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""success"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""Ce rapport a été développé par MINISTERE DE LA SANTE ET DE L'HYGIENE PUBLIQUE, BSD/DNSFN au T3 2025, sous l'initiative « Évaluations fréquentes et outils systémiques pour la résilience » FASTR en GUINEE""}],[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}],[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1},{""type"":""image"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFile"":""guinea_logo.png"",""imgFit"":""inside"",""imgStretch"":true},{""type"":""image"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFile"":""FASTR_Primary_01_FullName.png"",""imgFit"":""inside"",""imgStretch"":true},{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}],[{""type"":""text"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""\n# Citation\n\nMINISTERE DE LA SANTE ET DE L'HYGIENE PUBLIQUE, BSD/DNSFN. Analyse de la performance des services de la SRMNEA+N: T1 2025. CONAKRY, GUINEE. \n\n""}]],""useHeader"":true,""headerText"":""A propos de ce rapport""}}",2025-10-29T15:06:10.054Z
546279fd-65b2-4dac-8a46-617bfd3062fd,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,70,"{""type"":""section"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Section 1: Évaluation de la Qualité des Données"",""smallerSectionText"":""Les évaluations de la qualité des données (axées sur la complétude, la cohérence et les valeurs aberrantes) permettent d'apporter des ajustements aux données de routine afin d'améliorer la fiabilité des analyses présentées.""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]]}}",2025-10-09T17:43:24.262Z
e322b452-9ea9-433c-a2cc-5e527228a3ab,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,330,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""e5edce68-369c-498e-a4b0-03ba73d31d6c"",""moduleId"":""m002"",""selectedReplicantValue"":""""}},{""type"":""figure"",""presentationObjectInReportInfo"":{""id"":""b4750223-9ffd-43f6-958b-0ba9c0412df4"",""moduleId"":""m002"",""selectedReplicantValue"":""""},""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8}]],""useHeader"":true,""headerText"":""Methodologie: Comment l'ajustement de la qualité des données affecte les résultats""}}",2026-03-17T10:28:14.823Z
ec809737-5cd7-4e75-b418-ddb3157783b2,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,280,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":false,""textSize"":1.25,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFit"":""cover"",""imgStretch"":false,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""INTERPRÉTATION:\nLa couverture du Penta3 varie selon les sources.\n•\tDonnées calculées à partir des données SIGS (approche countdown) montre une tendance stable autour de 57 % entre 2019 et 2025.\n•\tEDS 2018 estime la couverture à 40%.\n•\tLes projections l’évaluent à 62%, avec une progression régulière entre 2023 et 2025.\nLes tendances issues de DHIS2 et des projections sont globalement alignées bien les données soient plus élevées, suggérant une couverture vaccinale progressive, conforme aux objectifs du programme national.""},{""type"":""figure"",""markdown"":""p^^egzgkregk^grzepokrppppp\npppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp\npppppppppppppppppppppppp\npppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp\npppppppppppppppppegogkpppp\npppppppppppppppppppppppppppppppppppppe"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFit"":""cover"",""imgStretch"":false,""hideFigureCaption"":false,""hideFigureSubCaption"":true,""hideFigureFootnote"":true,""presentationObjectInReportInfo"":{""id"":""68718527-c28e-41a1-8fd6-644df507c773"",""moduleId"":""m006"",""isDefault"":false,""replicateBy"":""indicator_common_id"",""selectedReplicantValue"":""penta3""},""span"":7}]],""useHeader"":true,""headerText"":""Estimation de la couverture de la vaccination Penta3""}}",2026-04-19T21:52:29.456Z
5a5786d6-4188-42f3-885c-70af18c618b3,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,100,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1.25,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""INTERPRÉTATION\nCes mesures mettent en évidence la cohérence, c'est-à-dire la correspondance logique et la stabilité des relations entre les indicateurs similaires. \nAinsi, pour les consultations prénatales (CPN1 et CPN4), les données mettent en évidence une bonne cohérence entre les deux indicateurs, tant au niveau national que dans l’ensemble des régions, traduisant des tendances qui évoluent de manière harmonieuse.\nEn ce qui concerne la vaccination (Penta1 et Penta3), une cohérence similaire est également observée au niveau national et dans la plupart des régions, à l’exception de N’Zérékoré, où une divergence apparaît entre les deux indicateurs.\n""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":1.5,""presentationObjectInReportInfo"":{""id"":""b1a8a774-1453-412c-a1d5-d30288453316"",""moduleId"":""m001"",""selectedReplicantValue"":"""",""isDefault"":false},""span"":6,""hideFigureFootnote"":true}]],""useHeader"":true,""headerText"":""Cohérence Interne""}}",2026-03-18T02:51:55.040Z
80746671-4d95-4917-89b6-febcb208c00d,0a3ae3bf-5d8f-4afa-a5d8-da41c8539b83,240,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":false,""textSize"":1.25,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFit"":""cover"",""imgStretch"":false,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""INTERPRÉTATION:\nLe graphique propose une estimation de la couverture de la CPN4 (quatrième consultation prénatale) en croisant les données administratives du DHIS2 avec celles issues de l’EDS.\nSelon l’EDS 2018, la couverture de la CPN4 était de 35 %. De leur côté, les données du DHIS2 suggèrent des niveaux plus élevés, avoisinant 59% sur la période 2022-2025. La apparente stagnation observée avant 2022 s’explique par une modification de la définition de l’indicateur CPN4, rendant les comparaisons dans le temps moins fiables.\nÀ partir de 2022, les projections indiquent une progression plus marquée, qui pourrait toutefois entraîner une légère surestimation de la couverture réelle.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":1.2,""presentationObjectInReportInfo"":{""id"":""68718527-c28e-41a1-8fd6-644df507c773"",""moduleId"":""m006"",""replicateBy"":""indicator_common_id"",""selectedReplicantValue"":""anc4"",""isDefault"":false},""span"":7,""hideFigureSubCaption"":true,""hideFigureFootnote"":true,""hideFigureCaption"":true}]],""useHeader"":true,""headerText"":""Estimation de la couverture de la CPN4""}}",2026-04-18T12:10:45.470Z
