id,report_id,sort_order,config,last_updated
ad9df492-22c6-4c1a-bdb2-49a62ddee79f,166664ed-18d9-4420-a708-b991714ebc78,30,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""markdown"":""# Méthodologie : Évaluation de l’utilisation des services"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}],[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":0.8,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""markdown"":""# Objectif :\nSuivre l’évolution de l’utilisation des services de santé dans le temps, en identifiant les cas où les services se situent en dessous ou au-dessus des tendances attendues.\n\n# Comment cela fonctionne :\n- Utilise les données de routine du DHIS2, nettoyées des valeurs aberrantes et des valeurs manquantes.\n- Construit une courbe de tendance « attendue » pour chaque service, ajustée en fonction de la saisonnalité et des tendances historiques d’utilisation des services.\n- Compare les volumes de services réels aux niveaux attendus.\n\n# Mesure de l’impact :\n- Les périodes signalées comme perturbées sont analysées afin d’estimer l’ampleur de la variation des volumes de services par rapport aux attentes.\n-  Les résultats sont présentés aux niveaux national et infranational, mettant en évidence les effets à l’échelle du système et au niveau local.\n\n\n# Comment interpréter les graphiques\n- Zones rouges = perturbations potentielles (volumes de services inférieurs aux attentes).\n- Zones vertes = excédents potentiels (volumes de services supérieurs aux attentes).\n- Ce sont des signaux, pas des conclusions — ils indiquent quand et où les volumes s’écartent, mais nécessitent des investigations supplémentaires sur les causes (« pourquoi »).\n- Les résultats sont ajustés pour la complétude et reflètent de vrais changements en volume des services, et non des variations de rapportage.""}],[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""Des détails supplémentaires sur la méthodologie et les approches d’ajustement de la qualité des données se trouvent avec le code source sur GitHub (https://github.com/FASTR-Analytics).""}]],""useHeader"":false,""headerText"":""Methodology""}}",2025-12-11T20:49:57.400Z
ca4c01d6-484b-49d3-8db6-39feca46e335,166664ed-18d9-4420-a708-b991714ebc78,230,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":""Annexe 1 : Interruptions de l'utilisation des services au niveau du district"",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""309be86c-9c01-4a62-aea6-f6075a7a1331"",""moduleId"":""m003"",""isDefault"":false,""replicateBy"":""indicator_common_id"",""selectedReplicantValue"":""penta3""}}]],""useHeader"":true}}",2026-04-17T14:28:23.826Z
09b25bfa-c397-414e-b1a6-70f107f59aa3,166664ed-18d9-4420-a708-b991714ebc78,90,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""Les accouchements assistés par du personnel qualifié, l’allaitement précoce et la première consultation postnatale (CPoN1) sont restés proches des niveaux attendus sur toute la période.\nLes volumes se maintiennent entre 380 000 et 470 000 services mensuels selon l’indicateur, sans perturbations majeures ni déficits persistants, indiquant une continuité stable des soins autour de l’accouchement et en période postnatale.""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""0641a223-7c5a-4946-be0b-3f4debd8c499"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false}}]],""useHeader"":true,""headerText"":""Accouchements et soins postnatals conformes aux niveaux attendus""}}",2026-04-17T14:28:23.826Z
01372fe6-ca9e-4c8d-83f7-cd7c2373cd5c,166664ed-18d9-4420-a708-b991714ebc78,40,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""# Les indicateurs utilisés pour l’analyse de l’utilisation des services ont été sélectionnés en tenant compte des priorités nationales.\n\n# Les indicateurs sélectionnés comprennent :""}],[{""type"":""text"",""markdown"":""# Général :\nConsultations externes\n\n# Santé reproductive :\nNombre total des utilisateurs PF\nPlanification familiale nouvelle et anciens utilisateurs chez les moins de 25 ans et les 25 ans et plus\n\n# Indicateurs maternels :\nCPN 1ʳᵉ et CPN 4\nNombre de femmes enceintes recevant du fer folate (90+ jours)\nAccouchements par personnel qualifié\n\n"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""text"",""markdown"":""# Soins postnatals :\nConsultations postnatales (mère et nouveau-né) : CPoN 1\nNouveau-né de fable poids (<2500g) et pris en charge par la méthode Kangourou\n\n# Indicateurs d'immunisation et nutrition :\nBCG administré\nPentavalent 1 et 3 administré\nNombre d’enfants de 6 mois a 59 mois ayant reçu deux doses de vitamine A\nNombre total d'enfants de moins de 5 ans ayant eu la diarrhée"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useHeader"":true,""headerText"":""Méthodologie : Sélection des indicateurs""}}",2025-12-15T17:39:02.341Z
13362103-bfad-403b-a4db-ea996349d0ed,8323d4d5-e2ce-4877-9406-acab5add04c9,10,"{""type"":""cover"",""cover"":{""titleText"":""Suivi des perturbations dans les services essentiels à l’aide des données du DHIS2 en Mali"",""subTitleText"":""T3 2025"",""presenterText"":"""",""dateText"":""Analyse produite en décembre 2025"",""logos"":[""FASTR_White_FullName (1).png""],""dateTextRelFontSize"":3},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1}]],""useHeader"":true,""headerText"":""""}}",2025-12-15T17:30:52.829Z
6be03355-d19e-44e6-a5b9-5d27ad680170,166664ed-18d9-4420-a708-b991714ebc78,310,"{""type"":""freeform"",""cover"":{""titleText"":"""",""titleTextRelFontSize"":10,""subTitleText"":"""",""subTitleTextRelFontSize"":6,""presenterText"":"""",""presenterTextRelFontSize"":4,""dateText"":"""",""dateTextRelFontSize"":3,""logos"":[]},""section"":{""sectionText"":"""",""sectionTextRelFontSize"":8,""smallerSectionText"":"""",""smallerSectionTextRelFontSize"":5},""freeform"":{""content"":[[{""type"":""text"",""span"":6,""markdown"":""# Résumé des tendances d'exhaustivité \nLes indicateurs de consultations externes et de vaccination (BCG, Penta 1 et Penta 3) affichent les niveaux les plus élevés, tandis que la nutrition, la planification familiale et plusieurs indicateurs de soins aux nouveau-nés restent parmi les moins complets. \nLes domaines intermédiaires (exhaustivité entre 70 et 90 %) comprennent les consultations externes, la vaccination BCG et Penta, les soins postnatals maternels, les accouchements institutionnels et ANC1.\n Les niveaux modérés (60–69 %) incluent ANC4, les soins du nouveau-né (PNC et allaitement précoce), la vaccination complète des enfants de 0–11 mois, la méthode kangourou, les indicateurs nutritionnels des enfants de moins de cinq ans. \n Enfin, les niveaux faibles (< 60 %) concernent  que certains indicateurs nutritionnels et la supplémentation en vitamine A.\n\n# Pourquoi l’exhaustivité est importante pour l’analyse des disruptions - Approche typique :\n\nValeurs observées : Ajustées uniquement pour les valeurs aberrantes. Elles reflètent les volumes de services rapportés après suppression des pics non plausibles.\n Valeurs attendues : Ajustées à la fois pour l’exhaustivité et les valeurs aberrantes. Le modèle « comble » les lacunes dues aux rapports manquants afin de générer une ligne de tendance attendue comme si tous les établissements avaient rapporté de façon cohérente.\n\nLorsque l’exhaustivité est élevée, les valeurs observées et attendues sont comparables, et les disruptions reflètent plus probablement de vrais changements dans l’utilisation des services.\n\nLorsque l’exhaustivité est faible, les valeurs attendues peuvent sembler artificiellement plus élevées que les valeurs observées, créant des « disruptions » qui reflètent en réalité des lacunes de rapportage plutôt que de véritables baisses de services.\n\n# Notre approche en Mali: \nÉtant donné que l’exhaustivité des rapports est globalement bonne, nous n’avons pas ajusté les valeurs observées pour la non-complétude. Les ajustements ont été appliqués uniquement aux valeurs aberrantes, conformément à notre approche analytique habituelle. Cette méthode permet de limiter l’influence de valeurs extrêmes tout en préservant les tendances réelles de volume de services observées dans les données. "",""stretch"":true,""fillArea"":true,""textSize"":0.64,""textBackground"":""grey"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.7,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""presentationObjectInReportInfo"":{""id"":""2fd4e846-cd2a-4439-850a-7071d2740296"",""moduleId"":""m001"",""isDefault"":false,""selectedReplicantValue"":""""}}]],""useHeader"":false,""headerText"":""Completeness is >95% for most indicators in 2025, strengthening confidence in disruption findings""}}",2026-04-17T14:25:57.191Z
ac4dd8dc-aefe-410a-9c50-a86ea4971438,166664ed-18d9-4420-a708-b991714ebc78,120,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""span"":4,""markdown"":""La supplémentation en vitamine A chez les enfants de 6 à 59 mois montre des excédents fréquents par rapport aux niveaux attendus, particulièrement marqués en 2025.\n\n*Les excédents observés peuvent en partie refléter une complétude des données plus faible (75 %), les volumes observés n’ayant pas été ajustés pour la non-complétude.\n""},{""type"":""figure"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""3583c85d-f78f-4f0d-b5cc-4e1370f26e26"",""moduleId"":""m003"",""selectedReplicantValue"":""vitamin_a"",""isDefault"":false,""replicateBy"":""indicator_common_id""}}]],""useHeader"":true,""headerText"":""Supplémentation en vitamine A : excédents récurrents du volume de services""}}",2026-04-17T14:28:23.826Z
b3cbc3a8-8806-4b8a-a493-f7e91ea5cd68,8323d4d5-e2ce-4877-9406-acab5add04c9,320,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""image"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""useFigureAdditionalScale"":true,""figureAdditionalScale"":0.8,""presentationObjectInReportInfo"":{""id"":""d361b200-b800-46c0-b5a6-650bd9ff67f9"",""moduleId"":""m003"",""selectedReplicantValue"":"""",""isDefault"":false},""imgFile"":""haiti_multi_indicator_2025_20251117-vaccines ALL.png"",""imgStretch"":true,""imgHeight"":100,""imgFit"":""inside""}]],""useHeader"":false,""headerText"":""Fluctuations ponctuelles des consultations ambulatoires avec une stabilité globale""}}",2025-12-11T20:50:37.421Z
c3b70fb5-ed7e-4234-a548-234cc8a7a517,166664ed-18d9-4420-a708-b991714ebc78,20,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""image"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""grey"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgFile"":""cover photo_Mali WB.jpg"",""imgFit"":""cover"",""markdown"":"""",""imgStretch"":true,""imgHeight"":250},{""type"":""text"",""stretch"":true,""fillArea"":true,""textSize"":1,""textBackground"":""primary"",""placeholderInvisible"":false,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""markdown"":""L’approche FASTR utilise les données de routine du DHIS2 pour suivre l’évolution de la prestation des services dans le temps.\n\nEn comparant les volumes de services observés et attendus — ajustés en fonction de la saisonnalité et des tendances historiques — nous pouvons identifier les perturbations ou les excédents dans les services de santé essentiels.\n\nCette analyse fournit une perspective globale et opportune, mettant en évidence où et quand l’utilisation des services s’écarte des tendances attendues. Les résultats produisent des données exploitables pour orienter des réponses rapides et contribuer à maintenir la continuité des soins essentiels en période d’incertitude de financement ou de changements opérationnels.""}]],""useHeader"":true,""headerText"":""Suivi des perturbations dans les services essentiels à l’aide des données du DHIS2"",""useFooter"":false,""footerLogos"":[]}}",2025-12-12T17:08:25.705Z
3b155651-8890-4ee3-973e-4a5901d2f189,166664ed-18d9-4420-a708-b991714ebc78,320,"{""type"":""freeform"",""cover"":{""titleText"":"""",""subTitleText"":"""",""presenterText"":"""",""dateText"":"""",""logos"":[]},""section"":{""sectionText"":"""",""smallerSectionText"":""""},""freeform"":{""content"":[[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""imgFile"":""FASTR_Primary_01_FullName.png""}],[{""type"":""text"",""markdown"":""# L' Initiative FASTR :\nhttps://data.gffportal.org/key-theme/FASTR"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":false,""placeholderStretch"":true,""placeholderHeight"":50,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false,""imgFile"":""FASTR_Primary_01_FullName.png""}],[{""type"":""placeholder"",""stretch"":true,""fillArea"":false,""textSize"":1,""textBackground"":""none"",""placeholderInvisible"":true,""placeholderStretch"":false,""placeholderHeight"":150,""useFigureAdditionalScale"":false,""figureAdditionalScale"":1,""imgHeight"":300,""imgFit"":""inside"",""imgStretch"":true,""hideFigureCaption"":false,""hideFigureSubCaption"":false,""hideFigureFootnote"":false}]],""useFooter"":true,""footerLogos"":[""FASTR_White_FullName (1).png"",""GFF_Logo_Vertical_Recolor (white) (1).png""],""footerText"":"""",""useHeader"":false,""headerText"":""""}}",2025-12-11T20:49:57.400Z
