facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
A05h9ICwmHK,Kenya,Makueni County,Makueni Sub County,Kathonzweni Ward
A0cZf1CQMsC,Kenya,Kisii County,Bomachoge Chache Sub County,Bosoti/Sengera Ward
a0eafYP2Vbb,Kenya,Garissa County,Fafi Sub County,Dekaharia Ward
A0Ln8q092qB,Kenya,Kwale County,Lunga Lunga Sub County,Pongwe/Kikokeni Ward
a0Q2u85Mn3d,Kenya,Kiambu County,Juja Sub County,Murera Ward
a0qvQ3FrCD8,Kenya,Busia County,Teso North Sub County,Malaba Central Ward
a0uTz3lcQiu,Kenya,Kwale County,Lunga Lunga Sub County,Vanga Ward
a0X9UYnrB8O,Kenya,Nairobi County,Kamukunji Sub County,Airbase Ward
a0XwYzX3wfw,Kenya,Nairobi County,Westlands Sub County,Parklands/Highridge Ward
A14poiAO6xg,Kenya,Makueni County,Kaiti Sub County,Kilungu Ward
A14VKKcewbS,Kenya,Makueni County,Kaiti Sub County,Kilungu Ward
A19e0CHhTj3,Kenya,Muranga County,Kiharu Sub County,Township Ward
A1BCmizFgwx,Kenya,Busia County,Samia Sub County,Ageng'a Nanguba Ward
a1BP3LxCq16,Kenya,Turkana County,Turkana Central Sub County,Lodwar Township Ward
A1f76xYcu4K,Kenya,Nairobi County,Embakasi South Sub County,Pipeline Ward
a1gbVK7DfBr,Kenya,Kirinyaga County,Kirinyaga Central Sub County,Kerugoya Ward
A1howrctPXW,Kenya,Nairobi County,Embakasi West Sub County,Umoja I Ward
a1KIkjd2PRa,Kenya,Kisii County,Bomachoge Borabu Sub County,Bokimonge Ward
A1LHwsmDMUX,Kenya,Nairobi County,Kasarani Sub County,Njiru Ward
a1v6zcMrGeB,Kenya,Mombasa County,Likoni Sub County,Mtongwe Ward
A1YN6EvQffa,Kenya,Nairobi County,Kibra Sub County,Laini Saba Ward
a254gbnl6Vl,Kenya,Nyeri County,Mathira East Sub County,Karatina Town Ward
A2Dlx8YHLZo,Kenya,Kiambu County,Limuru Sub County,Ngecha Tigoni Ward
a2f7h6RuLRn,Kenya,Narok County,Narok East Sub County,Suswa Ward
A2FJEDRHsgv,Kenya,Makueni County,Makueni Sub County,Nzaui/Kilili/Kalamba Ward
A2KoM7Hca7w,Kenya,Kwale County,Lunga Lunga Sub County,Pongwe/Kikokeni Ward
a2KyWuJWoID,Kenya,Nairobi County,Starehe Sub County,Ngara Ward
a2LNlmcJ7IF,Kenya,Nakuru County,Rongai Sub County,Soin Ward
A2m3Fgwhf2v,Kenya,Nakuru County,Kuresoi South Sub County,Amalo Ward
A2Tn3rOsXk9,Kenya,Kilifi County,Kilifi South Sub County,Shimo La Tewa Ward
A2vpkzQnTO0,Kenya,Vihiga County,Emuhaya Sub County,West Bunyore Ward
a2Vz5UNMbef,Kenya,Kisumu County,Kisumu West Sub County,Central Kisumu Ward
a2YRxZ59mLY,Kenya,Baringo County,Mogotio Sub County,Emining Ward
A2YsYMYq9O2,Kenya,Marsabit County,Laisamis Sub County,Korr/Ngurunit Ward
a33FcK1tSQL,Kenya,Busia County,Matayos Sub County,Burumba Ward
A3G1KrOWpXz,Kenya,Kisumu County,Kadibo Sub County,Kobura Ward
A3gmB9pWNRk,Kenya,Turkana County,Turkana Central Sub County,Kerio Delta Ward
a3igFPyASM4,Kenya,Turkana County,Turkana West Sub County,Kakuma Ward
A3Iwp6BOLfT,Kenya,Machakos County,Yatta Sub County,Ndalani Ward
a3l7okaKZ2Z,Kenya,Nandi County,Emgwen Sub County,Kilibwoni Ward
A3LzhJhADJz,Kenya,Mombasa County,Kisauni Sub County,Shanzu Ward
A3nmHhgX3A2,Kenya,Muranga County,Gatanga Sub County,Mugumo-ini Ward
A3y3soMVTbM,Kenya,Nakuru County,Naivasha Sub County,Naivasha East Ward
a45aufCiL69,Kenya,Nandi County,Aldai Sub County,Terik Ward
a4A25atxYzk,Kenya,Kiambu County,Juja Sub County,Juja Ward
