This dataset was obtained through the ICEH retriever, a data platform developed by the International Center for Equity in Health (https://www.equidade.org/retriever)
Database version: 2026-04
ISO,Country,Year,Final Year,Source,UNICEF Region,Indicator Code,Indicator,Reference,Strat,Level,Estimate,Standard Error,Sample Size
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,area,urban,110.4,1,046.9,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,area,rural,144.7,789.8,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,national,all,130.0,656.4,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,subnational unit,Somaliland,70.4,940.4,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,subnational unit,Puntland,111.7,926.8,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,subnational unit,South Central,159.1,856.5,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D01,111.8,2,171.4,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D02,125.5,1,575.9,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D03,157.4,1,586.6,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D04,150.9,1,840.7,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D05,165.6,1,547.2,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D06,156.9,1,696.7,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D07,169.8,1,848.3,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D08,112.7,1,723.0,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D09,115.2,1,186.0,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth deciles,D10,62.5,1,481.0,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth quintiles,Q1,119.5,1,377.0,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth quintiles,Q2,153.9,1,363.6,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth quintiles,Q3,161.3,1,203.6,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth quintiles,Q4,139.2,1,443.9,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,wealth quintiles,Q5,86.6,1,172.5,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,woman's education,none,144.1,707.3,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,woman's education,primary,110.9,1,245.5,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,woman's education,secondary+,21.4,1,090.9,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,woman's education (4 groups),none,144.1,707.3,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,woman's education (4 groups),primary,110.9,1,245.5,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,woman's education (4 groups),secondary,SS,SS,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,asfr1,Adolescent fertility rate,,woman's education (4 groups),higher,SS,SS,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,area,urban,31.9,4.5,190
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,area,rural,60.4,3.5,322
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,national,all,50.2,3.0,512
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,sex,male,49.1,3.5,284
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,sex,female,51.5,4.0,228
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,subnational unit,Somaliland,43.1,5.5,107
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,subnational unit,Puntland,38.2,5.7,134
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,subnational unit,South Central,55.0,4.0,271
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D01,70.8,7.5,45
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D02,71.3,6.6,50
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,bfcur12_15,Percentage of children who are currently breastfeeding,Age 12-15 months,wealth deciles,D03,67.9,5.6,61
